    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on build directory
    Finished `release` profile [optimized] target(s) in 2.31s
     Running `target/release/tester ../a.out`
72 Candidate: 5, Eval: -885
72 Candidate: 14, Eval: -800
72 Candidate: 17, Eval: -785
72 Candidate: 23, Eval: -700
72 Candidate: 29, Eval: -585
72 Candidate: 37, Eval: -480
72 Candidate: 48, Eval: -400
72 Candidate: 52, Eval: -385
72 Candidate: 56, Eval: -285
72 Candidate: 62, Eval: -280
72 Candidate: 64, Eval: -175
72 Candidate: 75, Eval: -85
72 Candidate: 80, Eval: -80
71 Candidate: 7, Eval: -885
71 Candidate: 11, Eval: -775
71 Candidate: 23, Eval: -685
71 Candidate: 32, Eval: -600
71 Candidate: 37, Eval: -480
71 Candidate: 44, Eval: -475
71 Candidate: 48, Eval: -400
71 Candidate: 50, Eval: -385
71 Candidate: 56, Eval: -285
71 Candidate: 65, Eval: -185
71 Candidate: 71, Eval: -175
73 Candidate: 6, Eval: -875
73 Candidate: 48, Eval: -375
