    Blocking waiting for file lock on build directory
    Finished `release` profile [optimized] target(s) in 3.38s
     Running `target/release/tester ../a.out`
72 Candidate: 5, Eval: -885
72 Candidate: 6, Eval: -880
72 Candidate: 12, Eval: -800
72 Candidate: 16, Eval: -780
72 Candidate: 21, Eval: -700
72 Candidate: 24, Eval: -685
72 Candidate: 25, Eval: -680
72 Candidate: 30, Eval: -600
72 Candidate: 32, Eval: -585
72 Candidate: 39, Eval: -500
72 Candidate: 43, Eval: -475
72 Candidate: 48, Eval: -400
72 Candidate: 57, Eval: -300
72 Candidate: 60, Eval: -280
72 Candidate: 66, Eval: -200
72 Candidate: 70, Eval: -185
72 Candidate: 76, Eval: -85
72 Candidate: 79, Eval: -80
73 Candidate: 5, Eval: -885
73 Candidate: 6, Eval: -880
73 Candidate: 12, Eval: -800
73 Candidate: 21, Eval: -700
73 Candidate: 25, Eval: -675
73 Candidate: 30, Eval: -600
73 Candidate: 32, Eval: -585
73 Candidate: 39, Eval: -500
73 Candidate: 41, Eval: -485
73 Candidate: 48, Eval: -400
73 Candidate: 57, Eval: -300
73 Candidate: 59, Eval: -285
73 Candidate: 66, Eval: -200
73 Candidate: 69, Eval: -180
73 Candidate: 76, Eval: -85
73 Candidate: 78, Eval: -80
71 Candidate: 5, Eval: -885
71 Candidate: 6, Eval: -880
71 Candidate: 12, Eval: -800
71 Candidate: 21, Eval: -700
71 Candidate: 25, Eval: -675
71 Candidate: 30, Eval: -600
71 Candidate: 32, Eval: -585
71 Candidate: 39, Eval: -500
71 Candidate: 41, Eval: -485
71 Candidate: 48, Eval: -400
71 Candidate: 57, Eval: -300
71 Candidate: 59, Eval: -285
71 Candidate: 66, Eval: -200
71 Candidate: 67, Eval: -185
71 Candidate: 68, Eval: -180
74 Candidate: 11, Eval: -10785
74 Candidate: 12, Eval: -800
74 Candidate: 21, Eval: -700
74 Candidate: 24, Eval: -680
74 Candidate: 31, Eval: -580
74 Candidate: 39, Eval: -485
74 Candidate: 49, Eval: -380
74 Candidate: 57, Eval: -280
